mes,sitio,transecto,Age.Novalena,Age.Tegenaria,Pc.Modissimus,Oo.Costarina.plena,Oo.Oonops,Oo.Pesceninna,Zo.Ishania.sp1,Ph.Piabuna.sp1,Ph.Piabuna.sp2,Tra.Trachelas,Gna.Zimiris,Clu.Elaver,Li.Grammonota ,Li.Fissiscapus ,Li.Laminocauda,Li.Pocadicnemis,Li.Traematosisis,Li.Toltecaria ,Li.Paraletes ,Li.walksp1.t,Li.Lygarina,Li.Agyneta.sp1,Li.Agyneta.sp2,Li.Jalapiphantes,Li.Lyniphia.trifalcata,Oc.spe.t,Te.gleno.t,The.davi.t,The.dipo.t,Myga.dip.t,Tr.morfo1.t,Pa.Para.t,Ne.Gaucelmus
febrero,1,1,8,0,0,4,0,0,0,2,0,0,0,1,3,5,2,0,1,0,1,20,0,11,0,0,0,0,0,0,0,0,1,0,0
febrero,1,2,4,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6,3,4,0,0,0,0,0,0,0,1,0,0,0
febrero,1,3,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,2,0,0,5,1,3,1,0,0,0,0,1,0,0,0,0,0
febrero,2,6,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,6,0,4,0,0,0,1,0,0,0,0,0,0,0
febrero,2,7,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,1,1,0,0,0,0,0
febrero,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,9,0,4,0,0,0,0,0,1,0,0,0,0,0
marzo,1,1,6,1,0,1,1,0,6,1,0,0,0,0,4,3,1,0,0,0,1,19,2,10,1,0,0,0,0,0,0,0,0,0,0
marzo,1,2,2,0,0,2,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,1,0,0,0,0
marzo,1,3,0,0,0,0,0,0,11,1,0,0,0,0,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0
marzo,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,2,0,0,0,0
marzo,2,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,1,0,0,0,0,0
marzo,2,8,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,12,0,9,0,0,0,0,0,0,0,0,0,0,0
abril,1,1,16,0,3,1,0,0,3,1,0,0,0,1,2,5,4,0,0,0,0,12,0,12,1,0,0,0,1,1,1,0,0,0,0
abril,1,2,4,0,0,0,0,1,9,1,0,0,1,1,7,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,1,0,0,0,0
abril,1,3,0,0,0,0,0,0,25,4,0,0,0,1,2,0,1,0,0,1,2,7,0,8,0,0,0,0,0,0,1,0,0,0,0
abril,2,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,6,0,6,0,0,0,1,0,0,0,0,0,0,0
abril,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,9,0,17,0,0,0,0,0,0,0,0,0,0,0
abril,2,8,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,2,7,0,13,1,0,0,0,0,0,1,0,0,0,0
junio,1,1,6,0,1,0,0,0,1,0,0,0,0,0,6,7,4,0,0,0,0,5,0,18,0,0,0,0,0,0,0,1,0,0,0
junio,1,2,3,0,1,0,0,0,6,2,1,0,0,0,3,0,0,0,0,0,0,5,5,7,0,0,0,0,0,0,0,0,0,0,0
junio,1,3,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,2,11,0,0,0,0,0,0,0,0,0,0,0
junio,2,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,12,0,13,0,0,0,4,0,0,0,0,0,0,0
junio,2,7,0,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,16,0,9,0,0,0,0,0,0,0,0,0,1,0
junio,2,8,0,0,1,2,0,0,0,3,1,0,0,0,9,1,3,1,0,1,0,16,0,13,0,0,0,0,0,0,0,0,0,0,0
julio,1,1,17,1,0,2,0,0,0,0,0,0,0,0,8,23,1,0,0,0,2,10,0,7,0,0,0,0,0,0,1,0,0,0,0
julio,1,2,6,0,0,4,0,0,6,0,1,0,0,0,1,0,0,0,0,1,0,7,0,13,0,0,0,0,0,0,0,0,0,0,1
julio,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,8,0,15,0,0,0,0,0,0,1,0,0,0,0
julio,2,6,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,18,0,4,0,0,0,2,0,0,0,0,0,0,0
julio,2,7,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,18,0,6,0,0,0,0,0,1,0,0,0,0,0
julio,2,8,0,0,0,2,0,0,0,2,2,0,0,0,7,0,1,0,0,1,3,13,0,13,0,0,0,1,0,0,1,0,0,0,0
agosto,1,1,9,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0
agosto,1,2,7,0,0,3,0,0,3,2,0,0,0,0,5,0,0,0,1,0,0,13,3,12,0,0,0,0,0,0,1,0,0,0,0
agosto,1,3,0,0,0,0,0,0,4,3,1,0,0,0,4,0,0,0,0,0,0,5,0,9,0,1,0,1,0,0,0,0,0,0,0
agosto,2,6,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,5,0,5,0,0,0,3,0,0,0,0,0,0,0
agosto,2,7,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,1,0
agosto,2,8,0,0,0,1,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,21,0,8,0,0,0,1,0,0,0,0,0,0,0
